Date,Match,Opponent,Rating
2025-12-10,Club Brugge KV vs Arsenal,Bjorn Meijer,6.4
2025-12-10,Club Brugge KV vs Arsenal,Kyriani Sabbe,6.4
2025-12-10,Club Brugge KV vs Arsenal,Zaid Romero,6.4
2025-12-10,Club Brugge KV vs Arsenal,Jorne Spileers,6.4
2025-12-13,Arsenal vs Wolverhampton,Yerson Mosquera,8.5
2025-12-13,Arsenal vs Wolverhampton,Emmanuel Agbadou,8.5
2025-12-13,Arsenal vs Wolverhampton,Toti Gomes,8.5
2025-12-13,Arsenal vs Wolverhampton,Jackson Tchatchoua,8.5
2025-12-13,Arsenal vs Wolverhampton,Santiago Bueno,8.5
2025-12-13,Arsenal vs Wolverhampton,Ki-Jana Hoever,8.5
2025-12-20,Everton vs Arsenal,Jake O'Brien,6.6
2025-12-20,Everton vs Arsenal,James Tarkowski,6.6
2025-12-20,Everton vs Arsenal,Michael Keane,6.6
2025-12-20,Everton vs Arsenal,Vitaliy Mykolenko,6.6
2025-12-20,Everton vs Arsenal,Nathan Patterson,6.6
2025-12-20,Everton vs Arsenal,Adam Aznou,6.6
2025-12-20,Everton vs Arsenal,Reece Welch,6.6
2025-12-20,Everton vs Arsenal,Elijah Campbell,6.6
2025-12-23,Arsenal vs Crystal Palace,Chris Richards,7.3
2025-12-23,Arsenal vs Crystal Palace,Maxence Lacroix,7.3
2025-12-23,Arsenal vs Crystal Palace,Marc Guéhi,7.3
2025-12-23,Arsenal vs Crystal Palace,Nathaniel Clyne,7.3
2025-12-23,Arsenal vs Crystal Palace,Borna Sosa,7.3
2025-12-27,Arsenal vs Brighton & Hove Albion,Diego Coppola,7.7
2025-12-27,Arsenal vs Brighton & Hove Albion,Jan Paul van Hecke,7.7
2025-12-27,Arsenal vs Brighton & Hove Albion,Lewis Dunk,7.7
2025-12-27,Arsenal vs Brighton & Hove Albion,Olivier Boscagli,7.7
2025-12-27,Arsenal vs Brighton & Hove Albion,Joel Veltman,7.7
2025-12-30,Arsenal vs Aston Villa,Lamare Bogarde,6.6
2025-12-30,Arsenal vs Aston Villa,Ezri Konsa,6.6
2025-12-30,Arsenal vs Aston Villa,Victor Lindelof,6.6
2025-12-30,Arsenal vs Aston Villa,Lucas Digne,6.6
2025-12-30,Arsenal vs Aston Villa,Andrés García,6.6
2025-12-30,Arsenal vs Aston Villa,Ian Maatsen,6.6
2025-12-30,Arsenal vs Aston Villa,Leon Routh,6.6
2026-01-03,Bournemouth vs Arsenal,Álex Jiménez,7.2
2026-01-03,Bournemouth vs Arsenal,James Hill,7.2
2026-01-03,Bournemouth vs Arsenal,Marcos Senesi,7.2
2026-01-03,Bournemouth vs Arsenal,Adrien Truffert,7.2
2026-01-03,Bournemouth vs Arsenal,Julio Soler,7.2
2026-01-03,Bournemouth vs Arsenal,Adam Smith,7.2
2026-01-03,Bournemouth vs Arsenal,Bafodé Diakité,7.2
2026-01-08,Arsenal vs Liverpool,Conor Bradley,6.6
2026-01-08,Arsenal vs Liverpool,Ibrahima Konaté,6.6
2026-01-08,Arsenal vs Liverpool,Virgil van Dijk,6.6
2026-01-08,Arsenal vs Liverpool,Miloš Kerkez,6.6
2026-01-08,Arsenal vs Liverpool,Joe Gomez,6.6
2026-01-08,Arsenal vs Liverpool,Andy Robertson,6.6
2026-01-08,Arsenal vs Liverpool,Calvin Ramsay,6.6
2026-01-14,Chelsea vs Arsenal,Josh Acheampong,6.5
2026-01-14,Chelsea vs Arsenal,Trevoh Chalobah,6.5
2026-01-14,Chelsea vs Arsenal,Wesley Fofana,6.5
