run_id,threat_type,aggressor_site_id,defender_site_id,initial_threat_x,initial_threat_y,initial_threat_z,initial_threat_vx,initial_threat_vy,initial_threat_vz,radar_3s_x,radar_3s_y,radar_3s_z,radar_3s_vx,radar_3s_vy,radar_3s_vz,outcome,miss_distance_m,time_to_intercept_s,intercept_x,intercept_y,intercept_z
0,high_ballistic,7,1,90000.0,20000.0,0.0,2703.996448273686,-270.2293540547749,1529.8592852829775,97704.71107352176,19230.014115622907,4788.042256420219,2568.2370245073607,-256.66196145903234,1581.2990854734028,MISS,84.48975217803593,183.24842930206592,560625.4001833603,-27032.90016755985,130453.75663170932
1,quasi_ballistic,0,0,15000.0,-75000.0,0.0,1568.3217655887636,136.1257635683422,910.2901408801016,19704.965296766313,-74591.62270929519,2740.725422640307,1568.3217655887636,136.1257635683422,916.8601408801031,HIT,0.016162194620105617,229.57721518182552,372078.2969494171,-29843.86987816418,37342.23204266933
2,supersonic_cruise,2,2,10000.0,5000.0,0.0,1031.3466948155524,91.08726806444167,120.0,13094.040084446642,5273.2618041933165,259.7611575195571,1031.3466948155524,91.08726806444167,64.09553699217709,HIT,0.03201644860536613,272.8064967250391,291358.077151522,29849.19855263317,4079.8052892599685
3,high_ballistic,9,0,85000.0,-85000.0,0.0,2693.8097352777872,40.08553049552873,1539.4509862634743,93381.99908636103,-84875.27074552054,4408.598563853086,2793.99969545362,41.576418159708915,1454.8178546176919,MISS,78.93829054028302,164.35341090791556,544203.3793328658,-78166.77400496224,111447.13023594889
4,quasi_ballistic,3,3,45000.0,45000.0,0.0,1581.0928535841906,1.7473642965757363,892.9228208319023,49743.27856075237,45005.24209288982,2688.6234624957096,1581.0928535841906,1.7473642965757363,899.4928208319038,HIT,0.031094368606272575,225.60923527665548,399891.99347228574,72230.2217438916,36812.39612991347
5,supersonic_cruise,7,2,90000.0,20000.0,0.0,1178.5329259559005,-22.087638785909498,120.0,93535.59877786785,19933.737083642336,259.7611575195571,1178.5329259559005,-22.087638785909498,64.09553699217709,HIT,0.017639638966928283,220.34746425230352,349686.74101149593,15133.044815983647,4033.592759095171
6,high_ballistic,8,2,70000.0,60000.0,0.0,3160.7298734840406,-442.14965184527284,1334.0185094337335,78889.27783456427,58756.49256436576,4224.846260839839,2963.0926115213006,-414.50247854471036,1393.5670869466096,MISS,31.342463618443002,162.1448675570838,550450.2578588751,-7209.445495155816,101774.54381629423
7,quasi_ballistic,7,2,90000.0,20000.0,0.0,1445.6615500465628,47.204049088134525,852.3284767611242,94336.98465013993,20141.612147264314,2566.8404302833746,1445.6615500465628,47.204049088134525,858.8984767611257,HIT,0.008628098926014313,215.87787732768598,397721.6582369761,55657.06083231048,17057.40021472572
8,supersonic_cruise,7,2,90000.0,20000.0,0.0,979.661212064046,-3.985732309196345,120.0,92938.98363619228,19988.042803072312,259.7611575195571,979.661212064046,-3.9857323091963086,64.09553699217709,HIT,0.0008829215725060359,224.3247982012502,309762.3037341001,19105.901403279757,3183.730717825106
9,high_ballistic,6,2,65000.0,-15000.0,0.0,3014.6352422689197,190.13611847216475,1365.1759980657314,72721.60106803232,-14512.990747643053,4752.73180763028,2573.867022677433,162.3364174523038,1569.5289358767563,HIT,0.0008136649768799983,175.3728770761503,516386.46494659444,13469.404458854395,129557.58816606422
